list_name,name,label::English,label::Arabic
livelihood_type,self_employment,Self-employment (own busiseness),????? ?????? ?????
aid_not_satisfied,delays_in_delivery,Did not receive the aid on time/Delays in delivery of aid,?? ??? ?????? ??????? ?? ????? ??????/??????? ?? ????? ???????
dc_method,in_person,Face-to-face interview,?????? ????? ????
dc_method,remote,Remote phone-based interview,?????? ?? ???? ???????
yes_no,yes,Yes,???
yes_no,no,No,??
sex,male,Male,???
sex,female,Female,????
location,west_bank,West Bank,????? ???????
location,gaza,Gaza Strip,???? ???
location,ej,East Jerusalem (J1),????? ??????? (J1)
governorate,jenin,Jenin,????
governorate,tubas,Tubas,?????
governorate,tulkarm,Tulkarm,??????
governorate,qalqiliya,Qalqiliya,???????
governorate,nablus,Nablus,?????
governorate,salfit,Salfit,?????
governorate,jericho,Jericho and al Aghwar,????? ????????
governorate,ramallah,Ramallah and al Bireh,??? ???? ???????
governorate,jerusalem_1,Jerusalem (J1),????? (J1)
governorate,jerusalem_2,Jerusalem (J2),????? (J2)
governorate,bethlehem,Bethlehem,??? ???
governorate,hebron,Hebron,??????
municipality,beit_hanun,Beit Hanun,??? ?????
municipality,beit_lahiya,Beit Lahiya ,??? ?????
municipality,jabalya,Jabalya ,??????
municipality,umm_naser,Umm an Naser ,?? ?????
municipality,gaza,Gaza ,???
municipality,al_mughraqa,Al Mughraqa ,????????
municipality,al_zahra,Al Zahra ,??????
municipality,wadi_gaza,Wadi Gaza ,???? ???
municipality,deir_balah,Deir al Balah ,??? ?????
municipality,an_nuseirat,An Nuseirat ,????????
municipality,az_zawayda,Az Zawayda ,????????
municipality,al_bureij,Al Bureij ,??????
municipality,al_maghazi,Al Maghazi ,???????
municipality,al_musaddar,Al Musaddar ,??????
municipality,wadi_salqa,Wadi as Salqa ,???? ??????
municipality,khan_yunis,Khan Yunis ,???????
municipality,al_qarara,Al Qarara ,???????
municipality,bani_suheila,Bani Suheila ,??? ?????
municipality,abasan_kabira,‘Abasan al Kabira ,????? ???????
municipality,abasan_jadida,‘Abasan al Jadida ,????? ???????
municipality,khuza,Khuza’a ,?????
municipality,al_fukhari,Al Fukhari ,???????
municipality,rafah,Rafah ,???
municipality,an_naser,An Naser ,?????
municipality,ash_shoka,Ash Shoka,??????
municipality,shati,al Shati' Camp,????? ??????
municipality,bureij,Bureij Camp,????? ??????
municipality,deir_balah_camp,Deir al Balah Camp,????? ??? ?????
municipality,jabalya_camp,Jabalya Camp,????? ??????
municipality,khan_yunis_camp,Khan Yunis Camp,???? ??? ????
municipality,maghazi,Maghazi Camp,???? ???????
municipality,nuseirat_camp,Nuseirat Camp,????? ????????
municipality,rafah_camp,Rafah Camp,???? ???
distance,less_15,Less than 15 mins,??? ?? 15 ?????
distance,less_30,Less than 30 mins,??? ?? 30 ?????
distance,less_hour,Less than 1 hour,??? ?? ????
distance,less_3hours,Less than 3 hours,??? ?? 3 ?????
distance,more_3hours,More than 3 hours,???? ?? 3 ?????
distance,dont_know,Don't know,?? ????
yndp,yes,Yes,???
yndp,no,No,??
yndp,don_t_know,Don't Know,?? ????
yndp,prefer_not_to_answer,Prefer Not To Answer,???? ??? ???????
treatment,covid_19_testing,COVID-19 testing,?????? ??????? ?????? ????? 19
treatment,covid_19_treatment,COVID-19 treatment,????  ??????? ?????? ????? 19
treatment,examination_or_non_surgical_treatment,Examination or non-surgical treatment for other illness,????? ?? ?????? ??? ??????? ?????? ????
treatment,regular_check_up_treatment,"Regular check-up/treatment (e.g. For chronic diseases, pregnancy etc.)",????? / ?????? ??????? (??? ???? ?????? ??????? ??????? ?????? ??? ??? ???)
treatment,elective_surgery,Elective surgery,????? ????????
treatment,emergency_surgery,Emergency surgery,????? ???????
treatment,other,Other ,????
treatment,don_t_know,Don't know,?? ????
treatment,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
health_barriers,cost,Cost of services and/or medicine was too high,???? ????? ??????? ? / ?? ?????? ?????? ??????
health_barriers,unqualified_staff,Did not get access to qualified health staff at the health facility,?? ?????  ?????? ??? ???????? ??????? ???????? ?? ?????? ?????
health_barriers,civil_docs_problems,Problems with civil documents,????? ?? ??????? ???????
health_barriers,no_referral_phc,Public health clinic or hospital did not provide referral,?? ???? ????? ????? ?????? ?? ???????? ???????
health_barriers,phc_closed,Public health clinic not open ,????? ????? ?????? ??? ??????
health_barriers,distance_to_treatmentcenter,The treatment center was too far away / Transportation constraints,??? ???? ?????? ????? ??? / ???? ?????
health_barriers,refused_treatment,Medical staff refused treatment without any explanation,??? ?????? ????? ?????? ??? ?? ?????
health_barriers,no_medicine,No medicine available at health facility / pharmacy,?? ???? ???? ????? ?? ??????? ?????? / ????????
health_barriers,no_offered_treatment,No treatment available for my disease at the health facility,?? ???? ???? ????? ????? ?? ??????? ??????
health_barriers,not_inclusive,Health services not inclusive of people with disabilities,??????? ?????? ?? ???? ??????? ??? ???????
health_barriers,no_fem_staff,Lack of female health staff,??? ???? ???? ??? ?????
health_barriers,quality_of_services,Quality of services could not meet the needs,???? ??????? ?? ???? ?? ???? ??????????
health_barriers,family_imposed_barrier,Socially/family-imposed barrier (e.g. family preventing from seeking health care),???? ??????? / ????? (??? ??? ?????? ?? ?????? ??????? ??????)
health_barriers,movement_to_facility_restricted,Movement to and/or from the healthcare facility was restricted by checkpoints or other barriers,?? ????? ?????? ?? ??  ??? ???? ??????? ?????? ?? ???? ???? ??????? ?? ????? ?? ???????
health_barriers,lack_of_awareness,Awareness of how/where to access services,????? ?????? ?????? ??? ???????
health_barriers,authorities_denied_request,Authorities refused to facilitate transfer,???? ??????? ????? ?????
health_barriers,don_t_know,Don't Know,?? ????
health_barriers,prefer_not_to_answer,Prefer Not To Answer,???? ??? ???????
health_barriers,other,Other(specify),???? (???? ???????)
ynd,yes,Yes,???
ynd,no,No,??
ynd,decline_to_answer,Decline to answer,???? ??? ???????
vaccine_why_not,not_safe,Vaccine is not safe,?????? ??? ???
vaccine_why_not,not_effective,Vaccine is not effective at preventing COVID,?????? ??? ???? ?? ??????? ?? ????????
vaccine_why_not,health_condition,Health conditions of certain family members preclude vaccination,?????? ?????? ???? ????? ?????? ?????? ?? ??? ??????
vaccine_why_not,covid_no_threat,COVID is not a threat to anyone in the household,?????? ?? ???? ??????? ??? ??? ?? ??????
vaccine_why_not,wait_other_vaccinated,Want to wait and see effects as other people get vaccinated,???? ???????? ????? ??????? ?????? ??? ???????
vaccine_why_not,lack_knowledge_access,Not aware of how to get vaccination,??? ??? ??? ?????? ?????? ??? ??????
vaccine_why_not,cannot_afford,Cannot afford vaccination,?? ?????? ???? ?????? ??????
vaccine_why_not,general_opposition_vaccine,Opposition to vaccines of any kind,????? ??? ???????? ?? ?? ??? ???
vaccine_why_not,don_t_know,Don't know,?? ????
vaccine_why_not,decline_to_answer,Decline to answer,???? ??? ???????
vaccine_why_not,other,Other (please specify),???? (???? ???????)
wgss,no_difficulty,No difficulty,?? ???? ?????
wgss,some_difficulty,"Yes, some difficulty",???? ??? ?? ???????
wgss,a_lot_of_difficulty,"Yes, a lot of difficulty",???? ????? ?????
wgss,cannot_do_at_all,Cannot do at all,?? ?????? ?????? ???? ???????
gender,male,Male,???
gender,female,Female,????
yndd,yes,Yes,???
yndd,no,No,???
yndd,do_not_know,Do not know,?? ????
yndd,decline_to_answer,Decline to answer,???? ??? ???????
why_difficulty,distance,Distance,???? ??????
why_difficulty,costs_access,Cost of accessing service (e.g. transportation),????? ?????? ??? ?????? (??? ?????)
why_difficulty,costs_service,Cost of the service (e.g. school fees),????? ?????? (??? ?????? ????????)
why_difficulty,inaccessible_environment,Services not physically accessible,????? ?? ???? ?????? ????? ?????
why_difficulty,movement_restricted,Movement restricted (or fully inhibited) at checkpoints,?????? ????? (?? ?????? ?????) ??? ???? ???????
why_difficulty,information_missing,Information about services not accessible,??????? ??? ??????? ?? ???? ?????? ?????
why_difficulty,not_adapted,Services provision not adapted to people with a disability,????? ??????? ??? ?????? ???? ?????????? ??????
why_difficulty,stigma,Stigma in community,???? ????? ?? ???????
why_difficulty,discrimination,Discrimination by service providers,??????? ?? ??? ????? ??????
why_difficulty,lack_permit,Lack of access permit to Israel,??? ???? ????? ???? ??? ???????
why_difficulty,lack_specialized_center,Lack of specialized centers or staff within the governorate,??? ???? ????? ?? ?????? ??????? ???? ????????
why_difficulty,other,Other (please specify),???? (???? ???????)
water_source,network_private,Piped water into compound,???? ?????? ?????? ?? ??????
water_source,network_comm,Piped water connected to public tap,?????? ?????? ????? ???????? ?????
water_source,borehole,Borehole,??? ????
water_source,prot_well,Protected well,??? ????
water_source,prot_tank,Protected rainwater tank,????? ?? ???? ??????? ????
water_source,prot_spring,Protected spring,????? ????
water_source,bottled_water,Bottled water,???? ?????
water_source,water_trucking,Water Trucking,??? ?????? ?????????
water_source,illegal_connection,Illegal connection to piped network,????? ??? ?????? ????? ???????? ??????
water_source,unprot_tank,Unprotected rainwater tank,????? ?? ???? ???????  ??? ????
water_source,unprot_well,Unprotected well,??? ??? ????
water_source,unprot_spring,Unprotected spring,????? ??? ????
water_source,surface_water,"Surface water without pre-treatment (river, dam, lake, pond, stream, canal)",?????? ??????? ??? ?????? ????? (????? ? ???? ? ??????? ? ?????? ? ???? ? ??????)
water_source,other,Other,????
latrines,flush,Flush or pour flush toilet,‘ ?????? ?????? ?? ?????’
latrines,pit,Pit latrine without a slab or platform,???? ????? ?? ??? ??? 
latrines,pit_slab,Pit latrine with a slab or platform,???? ????? ?? ??? 
latrines,open,Open hole,???? ??????
latrines,vip_pit,Pit VIP toilet,?????? ?????? ?? ????? ????? ???????
latrines,bucket,Bucket toilet,????? ??? ?? ???
latrines,plastic_bag,Plastic bag,??? ???????
latrines,hanging_toilet,Hanging toilet/latrine,?????? ?????
latrines,none,"None of the above, open defecation",?? ?????? ?????? ??? ?????? ?? ????? ????
latrines,other,Other,????
latrines,do_not_know,Don't Know,?? ????
waste_drainage,covered_septic,Covered and lined septic tank/cesspool,???? ????? ????? ???? ?????
waste_drainage,handdug_hole,A handdug hole in the ground,???? ?? ?????
waste_drainage,sewage_system,It is connected to a communal lined drainage and to the sewage system,???? ????? ????? ?????
waste_drainage,open_area,It drains into an open area ourside of the shelter and remains stagnant,??? ?? ????? ?????? ????? ?????? ???? ??????
waste_drainage,other,Other,????
waste_drainage,do_not_know,Don't know,?? ????
floods_effects,none,No effects,?? ???? ?????
floods_effects,children_not_access_school,Children could not get to school,?? ????? ??????? ?? ?????? ??? ???????
floods_effects,adult_mobility,Mobility of adults affected,???? ???? ????????
floods_effects,electricity,Electricity services negatively affected,????? ????? ???????? ????
floods_effects,water_services,Water services negatively affected,????? ????? ?????? ????
floods_effects,affected_livelihoods,"Affected livelihoods due to damage to agricultural land, injury/death to herds and livestock, or related infrastructure",??? ????? ???????? ???? ??????? ???? ???? ???????? ???????? ? ?? ????? ?? ??? ??????? ???????? ? ?? ?????? ??????? ??? ?????
floods_effects,sickness,People getting sick,???? ????? ??????
floods_effects,loss_HH_items,Loss/damage of household items,????? / ??? ??????? ????????
floods_effects,no_market_access,Restricted access to markets,?????  ?????? ??? ???????
floods_effects,no_healthcare_access,Restricted access to healthcare facilities,????? ?????? ??? ????? ??????? ??????
floods_effects,sewer_affected,Sewer services negatively affected,????? ????? ????? ????? ?????
floods_effects,other,Other,????
shelter_effects,none,No effects,?? ???? ?????
shelter_effects,shelter_leaking,Water leaking into the shelter,???? ?????? ??? ??????
shelter_effects,furniture_damage,"Damage of furniture (sofas, bed, cabinets, etc.)",??? ?????? (????? ? ?????? ? ??????? ? ???)
shelter_effects,shelter_items_damage,"Damage to shelter items (doors, windows, floor, ceiling, etc.)",??????? ???? ???? ????? ?????? (??????? ? ??????? ? ??????? ? ????? ? ???.)
shelter_effects,shelter_surroundings_damage,"Damage to shelter surroundings (boundary walls, garden, entrance, external furniture)",??????? ???? ???? ????? ?????? (??????? ???????? ? ??????? ? ?????? ? ?????? ???????)
shelter_effects,complete_destruction,Complete destruction of shelter,??????? ?????? ??????
shelter_effects,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
shelter_effects,other,Other,????
floods_mitigation,nothing,No mitigation measures,?? ???? ?????? ???????
floods_mitigation,shelter_rehabilitation,Simple shelter rehabilitation (strengthening/ isolating the celling and walls),????? ????? ????? ?????? (????? / ??? ??????? ????????)
floods_mitigation,shelter_relocation,Leave the shelter or move to other location.,???? ?????? ?? ????? ??? ???? ???.
floods_mitigation,walls_tunnels,Walls or tunnels around the shelters to protect it from water leaking and flow.,????? ?? ????? ??? ??????? ???????? ?? ???? ?????? ???????.
floods_mitigation,other,Other,????
solid_disposal,municipality_waste_system,Collected by municipality waste system,??? ????? ?? ???? ???? ???????? ???????
solid_disposal,burned_on_premises,Burned on premises,??? ??????? ?? ???? ?????
solid_disposal,burned_covered_premises,Burried and covered on premises,??? ????? ???????? ?? ???? ?????
solid_disposal,openly_dumped_premises,Openly dumped on premises,??? ??????? ?? ?????? ?? ???? ????? ???? ?????
solid_disposal,dumping_location,Dumping solid waste in official dumping location,??? ???????? ?????? ?? ??? ?????? ???? ????????
solid_disposal,dumped_in_area,Dumped in the area,????? ?? ???????
solid_disposal,other,Other,????
shelter_type,house,Solid / finished house,???? ????? ??????
shelter_type,apartment,Solid / finished apartment,??? ?????? ??????
shelter_type,unfinished_abandoned_building,Unfinished / non-enclosed building,???? ??? ????? ??????
shelter_type,collective_shelter,Collective shelter,?????? ???????
shelter_type,tent,Tent,????
shelter_type,makeshift_shelter,Makeshift shelter,???? ????
shelter_type,none,None (sleeping In open),?? ??? (????? ?? ??????)
shelter_type,other,Other,????
shelter_type,do_not_know,Don't know,?? ????
occupancy_status,ownership,Ownership,?????
occupancy_status,rented,Rented,???????
occupancy_status,hosted_without_rent ,"Hosted without rent (by family, friends, institution)",????? ???? ????? (?? ??? ??????? ?????????? ?? ?????)
occupancy_status,squatting,No occupancy agreement / squatting,?? ???? ??????? ????? 
occupancy_status,other,Other (specify),???? (???? ???????)
occupancy_status,don_t_know,Don´t know,?? ????
occupancy_status,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
eviction,lack_funds,Lack of funds to pay rental costs,??? ??????? ???? ?????? ???????
eviction,no_longer_hosted,Host family no longer able to host our family,?? ??? ??????? ????????? ????? ??? ??????? ???????
eviction,unaccepted_by_community,Local community does not accept our family living in the area,??????? ?????? ?? ???? ???????? ????? ?? ???????
eviction,authorities_request,Authorities requested our household to leave,???? ?????? ?? ?????? ????????
eviction,owner_request,Request to vacate from owner of building/land,??? ??? ??????? ?? ???? ?????? / ?????
eviction,no_agreement,No valid tenancy agreement,?? ???? ??? ????? ???? ???????
eviction,inadequate,Inadequate housing / shelter condition,???? ????? ?? ?????? ??? ??????
eviction,occupied,Housing occupied by other groups,??? ????? ?????? ?? ??? ??????? ????
eviction,confiscation,Risk of property being confiscated,??? ?????? ?????????
eviction,dispute,Ownership of property is disputed,????? ????????? ?????? ?????
eviction,other,Other,????
shelter_issues,none,None,?? ????
shelter_issues,roof_opening_cracks,Opening or cracks in roof,??? ?? ?????? ?? ?????
shelter_issues,roof_partially_collapsed,Roof partially collapsed,?????? ????? ?????
shelter_issues,broken_windows,Broken or cracked windows,??????? ?????? ?? ??????
shelter_issues,doors_broken,Exterior doors broken / unable to shut properly,??????? ???????? ?????? ?? ??? ????? ??????? ???? ????
shelter_issues,doors_windows_missing,Exterior doors or windows missing,??????? ?? ??????? ???????? ??????
shelter_issues,walls_small_cracks,Large cracks / openings in most walls,???? / ????? ????? ?? ???? ???????
shelter_issues,walls_large_cracks,Some cracks in some walls,??? ?????? ?? ??? ???????
shelter_issues,collapsed_walls,Some walls fully collapsed,?????? ??? ??????? ???????
shelter_issues,damaged_floors,Damaged floors,???????? ?????
shelter_issues,structural_damage,Severe structural damage and unsafe for living,????? ?????? ????? ???? ???? ???????
shelter_issues,total_structural_collapse,Total structural collapse,?????? ????? ????
shelter_issues,foundation_shifted,Foundation damaged or shifted,???????? ????? ?? ??? ?????
shelter_issues,system_damage,"Gas, water or sewage system damaged",??? ???? ????? ?? ????? ?? ????? ?????
shelter_issues,electricity_damage,Electricity supply line damaged and not functional,?? ????? ???????? ???? ??? ????
shelter_issues,other,Other,????
shelter_issues,dnk,Don´t know,?? ????
shelter_issues,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
threats,menacing_behavior,"Menacing behavior (e.g. threats, pointing of weaponry, firing weaponry)",?????? ?????? (??? ????????? ? ????? ??????? ? ????? ????? ?? ???????)
threats,verbal_abuse,Verbal abuse or harm,??????? ?? ????? ?????? 
threats,sexual_harassment,Sexual harassment or abuse,?????? ?? ??????? ???????
threats,obstructed_shelter,Obstructed travel to or from shelter,????? ?????? ?? ???? ??????
threats,obstructed_vicinity,Obstructed access to areas in your vicinity (e.g. farm or pasture land),????? ?????? ??? ??????? ???????? ?? (??? ????? ??????? ?? ???????)
threats,physical_violence,"Physical violence (e.g. stone throwing, beating, shooting)",????? ?????? (??? ??? ??????? ?????? ?????? ?????)
threats,non_shelter_items_damage,Damage (inc. vandalism) or destruction of personal property (non-shelter related) (e.g. vehicles),????? (??? ?? ??? ???????) ?? ????? ????????? ??????? (??? ???????? ???????) (??? ????????)
threats,shelter_damage,Damage (inc. vandalism) or destruction of shelters,??????? (??? ?? ??? ???????) ?? ????? ???????
threats,economic_damage,"Damage or destruction of livelihood/economic resources (e.g. trees, herds, barns, cisterns/water networks)",????? ?? ????? ??? ????? ?? ??????? ?????????? (??? ??????? ? ??????? ? ??????? ? ???????? ? ????? ??????)
threats,theft,Theft of personal property,???? ????????? ???????
threats,occupation_of_shelter,Occupation of all or part of shelter,?????? ??? ?? ???? ?? ??????
threats,forced_eviction,Forced eviction,??????? ??????
threats,detention,Detention,??????
threats,disrupting_activities,Disrupting sleep or daily life/activities,????? ????? ?? ?????? ?? ??????? ???????
threats,other,Other (please specify),???? (???? ???????)
threats_cope,none,None,?? ????
threats_cope,withheld_children_school,Withheld children from school,??? ??????? ?? ???????
threats_cope,withheld_children_travel,Withheld children from travel,??? ??????? ?? ??????
threats_cope,withheld_adult_travel,Withheld adult family members from travel,??? ????? ?????? ???????? ?? ??????
threats_cope,change_livelihoods,"Changed livelihood behaviors (e.g. not grazed flocks, planted, harvested in dangerous areas)",???? ??????? ??? ?????/ ????? ????? (??? ???? ?????? ? ??? ?????? ??????? ???? ????? ?? ??????? ??????? ??? ????? ???????? ?? ??? ???? ???????? ?? ??? ???????)
threats_cope,security_measures,"Added security or protection measures (e.g. alarms, lights, locks, community watch)",??????? ?????? ?? ??????? ???????? (??? ?????????? ???????? ???????? ?????? ??????? ??????)
threats_cope,moved_property,Moved property to safer location,?? ??? ??????? ??? ???? ???? ??????
threats_cope,sent_children_away,Sent children to live elsewhere on at least one occasion,????? ??????? ????? ?? ???? ??? ??? ???? ????? ??? ?????
threats_cope,sent_adults_away,Sent adult family members to live elsewhere on at least one occasion,???? ????? ??????? ???????? ????? ?? ???? ???  ??? ???? ????? ??? ?????
threats_cope,hh_moved,Entire household has moved from a certain area on at least one occasion,?????? ?????? ??????? ?? ????? ?????  ??? ???? ????? ??? ?????
threats_cope,contact_municipality,Contacted local municipal actors to complain/request help,?? ??????? ??????? ??????? ??????? ?????? ???? / ???? ????????
threats_cope,contact_security,Contacted security forces (e.g. Israeli or Palestinian) complain/request help,???? ????? ???? ?? ??????? ??? (??? ???????????? ?? ???????????) ????? / ???? ????????
threats_cope,other,Other (please specify),???? (???? ???????)
drop_out,lack_of_schools,Lack of schools in the community leading to drop out,??? ??????? ?? ??????? ???? ??? ??? ???????
drop_out,commuting_risks,Protection risks while commuting to school.,????? ??????? ????? ?????? ??? ???????
drop_out,demolished_school,The school was demolished or under threat of demolition,?? ??? ??????? ?? ?? ??????? ??????
drop_out,child_labour,Child labour,????? ???????
drop_out,child_marriage,Child marriage,???? ???????
drop_out,disability,Disability,???????
drop_out,poverty,Poverty,?????
drop_out,covid_19,COVID-19 related school closures,????? ??????? ???? ??????
drop_out,lack_interest_in_child_edu,Lack of interest of children in education.,??? ?????? ??????? ????????
drop_out,other,Other  (specify),???? (???? ???????)
disabled_edu_challenges,no_teachers,Teachers are not able or available to teach children,???????? ??? ?????? ?? ??? ??????? ?????? ???????
disabled_edu_challenges,classrons_not_adapted,Classrooms are not adapted for child,?????? ???????? ??? ?????? ???????
